soil_type,crop,ph,organic_matter_pct,nitrogen_kg_per_ha,phosphorus_kg_per_ha,potassium_kg_per_ha,avg_temp_c,rainfall_mm,humidity_pct,irrigation_mm,fertilizer_cost_rs_per_ha,previous_yield_kg_per_ha,yield_kg_per_ha
Peaty,Wheat,6.8589518146711255,2.0318404936092858,87.47532628135502,36.097556735218674,46.51385593299448,27.498379235663908,1093.7585517384377,55.84387535720603,153.056198987924,8080.882974605056,3296.087224184149,4404.8
Peaty,Rice,5.962177382249921,1.8442177543734086,89.32267180508232,35.85907865106108,54.153350004870724,26.157831441707042,744.0403215247902,53.61112812028998,169.258367532136,9764.295566701368,2581.6356139915665,4813.6
Sandy,Maize,5.747880868450629,2.5476653139591625,85.21152524255365,53.58677902518414,86.01290484532103,29.401948171050453,411.401234429815,48.30172481905937,110.53390918262282,4416.180000824789,2555.353232619244,3852.2
Sandy,Sugarcane,6.034529734466384,1.9060955772395767,77.06559350454187,30.269229870106596,46.21518975469631,33.4207330053326,816.2845157835196,77.7718052072419,112.63931737442316,2613.224383174397,3044.98575382211,4603.0
Silt,Potato,6.330931131559206,0.6841628900008994,111.64587088371573,43.27019100318543,64.14945807278652,30.8663843245398,639.8754533127486,63.837817198892225,31.603841053017135,6993.519803144688,2706.3874227402043,3644.0
Loamy,Wheat,7.0898330532376415,2.0463636127499703,54.810484456038196,65.67625182023858,5.040393703841765,27.158544260325932,579.0495011824455,54.83478969494294,90.24550021775224,8319.760055333325,2883.390705124693,4678.8
Sandy,Sugarcane,6.629250410751991,2.6853272832328208,57.77083841320539,23.950701050203318,20.90638008802493,22.669341993725045,926.9315350271902,54.40093864003721,135.78582498001245,3981.5708290066505,1378.23160255137,4732.9
Silt,Rice,8.331844637968366,2.0587259321458165,86.57951654251258,46.4980425249761,62.512744773446414,31.550324074646404,855.0681419966792,57.804290599692976,110.37485339901865,8139.193028029673,2769.8288988055047,4631.0
Loamy,Potato,6.810976098440887,2.9538459777049955,89.42413348797508,57.321009704876396,79.54588486182958,29.130923151038168,944.5494267446147,79.6456323654501,146.25767362788787,6527.542612795397,2549.4323647864603,3804.1
Silt,Sugarcane,5.441383181515916,2.176119568239959,77.99577474642527,84.32212179717732,66.60626109263765,30.414351913104355,1074.899098083902,61.556557816211374,77.81552056939279,6616.575741010476,2817.0036909321293,4719.5
Sandy,Maize,7.262937342532625,2.3935473003617185,92.13316707881776,34.33042750230506,80.18169882026527,28.925551306607293,1115.2287779474664,59.82438099731247,108.00844920207314,4780.078728584927,2839.544691526316,3391.8
Loamy,Wheat,4.552878194761572,1.1830428728781581,104.13219842830358,56.88522613415523,32.78348437394598,38.381257098788765,621.5663168495531,65.83992162861908,102.35857570553284,6834.502032376934,2969.899008040107,4243.4
Silt,Rice,7.455625499605156,2.6558130224566194,96.50719331197088,63.11733051930649,70.9735030809138,32.984465468266485,1156.1709403973139,38.28437027148496,114.89447037878908,7108.955691547824,2910.5008639862476,4519.1
Clay,Maize,6.779675999488238,2.011698056881824,82.3237855225266,61.03805893561386,66.6842112740064,26.829864184049743,1037.5014236509205,68.66774797001878,109.07812730200317,4929.897268549698,2906.1953265533384,4665.5
Clay,Wheat,6.310686251575163,3.281998608361452,133.45052570787828,35.500722219807834,86.41853660723983,30.434061719102402,1004.0440212510966,58.494759002178185,145.2526054759289,7795.592713684546,2860.4852984795616,4534.7
Sandy,Sugarcane,5.7742989229958,2.3414382312179525,97.27041835094172,48.7856131430041,73.68855520836618,26.534556124949674,641.0207038051037,56.82252935165859,85.11168250213339,4948.794781507898,2817.7487336166064,3947.0
Clay,Maize,7.45735265412371,2.358360174408861,74.56541689927732,34.333337781704174,37.90648741724701,26.680532274861896,928.3277532140929,71.27656346956209,158.37825444692032,4699.100426735932,4422.878434429528,4559.5
Silt,Cotton,8.035200714574884,3.0137208006146143,59.859087010371795,55.20952502540827,79.25424192127568,31.748960096432523,609.1401737995025,54.04630051268417,133.62692305667062,6155.5301493630395,2705.8662547844933,3154.9
Clay,Sugarcane,5.830697656567495,0.8480361974448734,55.34732728682029,49.06828693347369,61.469500324206216,28.633201927618256,789.5179428161784,71.2577772623633,214.15041709533023,6398.218678353625,2698.073764589093,5215.7
Loamy,Maize,4.5,1.6145983168922289,78.43852796811966,20.352896023856605,54.4088872405685,18.898765227561803,1091.9575983763843,81.23812900242453,145.51106879769696,6351.144582894293,3220.844414522405,4454.6
Loamy,Rice,5.975490896282517,1.7456623957001394,127.3358973202993,67.66620292702694,69.99371672276312,19.949908076597843,1079.9674795882722,82.25090094035144,161.81710318931792,3713.0901120067374,2718.8126629430167,4402.3
Sandy,Sugarcane,7.612341979525105,2.4383556649194165,58.425597690107615,22.324526591255115,92.38278142500874,26.808625722600986,827.5413182174675,73.24648351493008,102.63204472058982,7078.521938061058,3025.6457764047877,4503.1
Peaty,Wheat,5.803785959855221,3.0791810443018086,57.10795906484667,50.65852753638982,68.0188006961389,22.113422880888816,637.9923092605113,60.130564944768494,179.5851829639608,6643.827544778697,2231.8968129674286,4670.9
Loamy,Cotton,6.024506902123035,1.502385084573934,65.77673324777258,27.928785585652314,38.42104041817622,28.53616790270217,552.5311442766879,69.23474970744222,151.1326130318314,8461.485375667737,1004.3461607538652,2680.0
Clay,Rice,7.314032733285402,2.018425770843921,80.68325727964255,47.20655289702627,92.14093366253925,34.916713004455296,448.38203330078437,43.60416913816833,121.285834282546,7195.305339879805,3187.5483532246226,4333.2
Clay,Rice,6.335775780644017,2.7800966046539424,44.394728833246674,59.09158529201375,62.464404819842144,28.582152618043636,1105.4799706215042,85.50814762970722,178.67387374298886,8364.8211122001,2972.661669738962,5039.3
Clay,Potato,6.329030278403295,1.9065866407162197,122.83727461362976,36.874058801251586,76.74843786742689,18.450276949854196,1092.0051137236835,30.77739331714061,82.57844321039406,3777.853091343032,2541.448878563425,3770.6
Loamy,Maize,7.3522781012333045,1.8081876615019254,137.83921923648944,34.08696447210337,34.59702514791619,27.23262311940095,1048.040867311051,73.79686986075008,161.51676167065358,5391.243114659994,3180.883079270928,4528.6
Sandy,Potato,6.309377231440333,2.5293315592817125,139.86230223044004,45.722867444178256,76.84496469519567,32.12938168094037,980.2167014693449,47.501507917728546,92.60371334635389,8515.830356295168,3198.8450075417454,3616.0
Peaty,Rice,8.165878995276469,1.507270228698029,103.88228150112906,74.90535850117949,59.527160464023666,25.990603846851016,1176.050391412912,59.340388856941864,154.14517736939501,7667.494634363884,3291.6744971034623,5098.7
Sandy,Wheat,7.988547556696431,1.7601311363034036,87.85388363806462,49.78567308479665,70.20705291723776,27.006104514158515,924.9065179819524,68.8965314391404,87.55502610370783,4671.820820842786,3710.8625382370824,4308.1
Silt,Cotton,6.207709607381815,2.144656611439207,90.3060441427461,75.56786325355046,62.62542722659316,29.538647775375754,899.2596010730163,35.84878132831696,162.1044119510194,8066.031871931634,2619.8393135036176,3145.9
Silt,Maize,6.647850616611349,2.789426878127294,88.56445460012642,40.61866184533488,42.27354790008004,23.395997590240007,1338.450392009728,37.62146305960312,111.35096447874605,8778.361921010954,2161.9336027322133,4322.3
Loamy,Maize,6.152827086341751,2.750404794376227,170.22311677458055,15.876292592444244,43.39182040860633,19.959355407093305,1002.4856682335703,39.880227149087986,96.65439882238478,8028.411510432566,3712.9147394560487,4232.6
Silt,Maize,6.460498477155052,1.735043073052743,86.79972954167037,34.13720601087222,65.68983870818991,24.513618297794295,723.144500137811,59.53581937719164,193.17983105654517,9821.175442056307,2393.521846114867,3971.6
Peaty,Sugarcane,8.5,1.6148036108826018,80.87557392936591,30.57948196620849,106.06208942431962,28.423265341107985,740.8129691876933,58.05197509879081,40.884038372287876,6910.530641801222,3033.66546874404,5469.9
Peaty,Rice,4.5,2.892351947486834,122.72468003566559,70.24588404604098,40.572374458918674,26.702644224089276,581.1483019715395,33.50821016104487,221.37907903222276,11679.208305312837,3535.7577264612896,4539.5
Sandy,Rice,5.641096795198308,3.2283163782785373,78.51549046725437,35.77917814102139,58.24265088140831,26.00242027845794,719.004329175504,78.11049191870491,70.49748246659595,9624.698838699918,3027.4200232672874,4300.1
Loamy,Cotton,6.590230290103275,2.76903997142823,3.2450220314938036,31.305832266323684,36.030165249584854,33.097837495706706,580.0108143200498,43.592045400277,237.24706804747035,6426.8731353370895,2050.974775255666,3676.7
Clay,Maize,5.318137567275088,2.180599103628221,103.80950159641017,39.264343637685364,49.76178677029591,26.274390755439615,854.739535163188,73.12084773603202,231.23378674170988,6222.1007156304295,3596.0575693328856,3710.9
Silt,Maize,7.058069280277743,2.817853653909184,100.2260353537748,52.38010365473152,46.697300206975385,22.710446981030877,943.6140483854903,48.24564656913457,155.82387514524356,7143.017703290908,3207.721357116252,4272.7
Silt,Rice,5.8149547444454806,1.8448314227777312,30.32882078546954,37.178669338730465,71.21080850607618,30.606770184784676,1236.6988966848435,61.477054710766275,104.55559318089878,5432.405550249426,2471.8564251442285,4213.9
Clay,Potato,6.182851336454868,1.9310333870754308,38.56637838824529,54.06588855550241,26.717677040455413,24.13306902471133,872.8660167559918,39.545399876511084,153.61886070782873,6853.346491579853,2843.7146920911705,3896.0
Clay,Potato,5.357575333519388,2.0282896210672288,87.99120290108581,50.14194632890738,68.9763681154445,30.16157415455588,987.2579836576697,42.97550374570864,95.98317125941864,7583.016176992191,2249.3955054343123,3245.5
Silt,Wheat,6.165776162054576,2.6564853100188754,151.75805239200926,55.96662796518846,60.44443585068486,26.765229681348643,1021.8358595200413,64.52358204128197,157.61664981619074,6058.349210850549,2313.554745851023,4428.2
Clay,Sugarcane,6.231216392341644,1.769339566504454,56.62108316285584,43.751746946490115,55.42793808702067,21.640855886228564,1046.136700738258,56.710837189733006,178.93627412229696,7786.5436138230725,2254.9425623504567,4815.9
